2025-10-08T15:38:56+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T15:38:59+02:00 | auth.php | session_id=ogfs6348avb5vokf09loecdec6 | oauth_state=e475d8c4babbe74c0996b9622cfae3bd
2025-10-08T15:38:59+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T15:39:43+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T15:39:45+02:00 | auth.php | session_id=ogfs6348avb5vokf09loecdec6 | oauth_state=25412ef20fff60f7f597608b862f359e
2025-10-08T15:39:46+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T15:41:49+02:00 | auth.php | session_id=ogfs6348avb5vokf09loecdec6 | oauth_state=ee5c2d239ccab845de69e43b49655be4
2025-10-08T15:41:49+02:00 | callback.php | session_id=mqcm6rc31qb9o5t898d2leu0on | incoming_state=(none) | stored_state=0535b589528f1a370f27e8f95ab161ca
2025-10-08T15:41:49+02:00 | callback.php | GET=error=unauthorized_client&error_description=Client+with+id+ceaca19ac9454fcca421f31673cf6eff+does+not+have+the+privilege+to+generate+an+authorization+code | COOKIE={"abuse_interstitial":"psychrometric-unlighted-mandie.ngrok-free.dev","PHPSESSID":"mqcm6rc31qb9o5t898d2leu0on"} | SESSION={"oauth_state":"0535b589528f1a370f27e8f95ab161ca"}
2025-10-08T15:41:49+02:00 | callback.php | oauth_error=unauthorized_client | description=Client with id ceaca19ac9454fcca421f31673cf6eff does not have the privilege to generate an authorization code
2025-10-08T16:03:21+02:00 | callback.php | session_id=muhrld8g9nc4gvknmpplsi929c | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:21+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:03:22+02:00 | callback.php | session_id=cteks6grb0p5mufvqq2cb544i0 | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:22+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:03:27+02:00 | callback.php | session_id=u9ue9g8ajtnch3bqh1h5ugg5q6 | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:27+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:03:29+02:00 | callback.php | session_id=vek3lnu6bjtteucjng742t34d9 | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:29+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:03:40+02:00 | callback.php | session_id=vacoo318nbifp6led4l6j1rvbi | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:40+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:03:41+02:00 | callback.php | session_id=m58htbvkvc0i48m7ggoacql4hu | incoming_state=(none) | stored_state=(none)
2025-10-08T16:03:41+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:04:04+02:00 | callback.php | session_id=oj5piaenb82qii1n5kq68s168i | incoming_state=(none) | stored_state=(none)
2025-10-08T16:04:04+02:00 | callback.php | GET= | COOKIE=[] | SESSION=[]
2025-10-08T16:04:05+02:00 | callback.php | session_id=94vu6smh97rgcdpkqbtrf23sos | incoming_state=(none) | stored_state=(none)
